text,label,sentiment,cleaned_text,textblob_sentiment,vader_sentiment,bert_sentiment
"""QT @user In the original draft of the 7th book, Remus Lupin survived the Battle of Hogwarts. #HappyBirthdayRemusLupin""",2,positive,"""qt in the original draft of the 7th book, remus lupin survived the battle of hogwarts. """,positive,positive,positive
"""Ben Smith / Smith (concussion) remains out of the lineup Thursday, Curtis #NHL #SJ""",1,neutral,"""ben smith / smith (concussion) remains out of the lineup thursday, curtis """,neutral,neutral,negative
Sorry bout the stream last night I crashed out but will be on tonight for sure. Then back to Minecraft in pc tomorrow night.,1,neutral,sorry bout the stream last night i crashed out but will be on tonight for sure. then back to minecraft in pc tomorrow night.,neutral,positive,positive
Chase Headley's RBI double in the 8th inning off David Price snapped a Yankees streak of 33 consecutive scoreless innings against Blue Jays,1,neutral,chase headley's rbi double in the 8th inning off david price snapped a yankees streak of 33 consecutive scoreless innings against blue jays,neutral,neutral,positive
"@user Alciato: Bee will invest 150 million in January, another 200 in the Summer and plans to bring Messi by 2017""",2,positive,"alciato: bee will invest 150 million in january, another 200 in the summer and plans to bring messi by 2017""",neutral,neutral,positive
@user LIT MY MUM 'Kerry the louboutins I wonder how many Willam owns!!! Look Kerry Warner Wednesday!',2,positive,lit my mum 'kerry the louboutins i wonder how many willam owns!!! look kerry warner wednesday!',positive,neutral,positive
"""\"""""""" SOUL TRAIN\"""""""" OCT 27 HALLOWEEN SPECIAL ft T.dot FINEST rocking the mic...CRAZY CACTUS NIGHT CLUB ..ADV ticket $10 wt out costume $15...""",2,positive,"""\"""""""" soul train\"""""""" oct 27 halloween special ft t.dot finest rocking the mic...crazy cactus night club ..adv ticket $10 wt out costume $15...""",positive,positive,negative
So disappointed in wwe summerslam! I want to see john cena wins his 16th title,0,negative,so disappointed in wwe summerslam! i want to see john cena wins his 16th title,negative,positive,negative
"""This is the last Sunday w/o football .....,NFL is back baby""",2,positive,"""this is the last sunday w/o football .....,nfl is back baby""",neutral,neutral,negative
@user @user CENA & AJ sitting in a tree K-I-S-S-I-N-G 1st goes AJ's  job then John's cred then goes Vicki with the GM position.,1,neutral,cena & aj sitting in a tree k-i-s-s-i-n-g 1st goes aj's job then john's cred then goes vicki with the gm position.,neutral,neutral,positive
@user Well said on HMW. Can you now address why Texans fans file out of the stadium midway through the 4th qtr of every game?,1,neutral,well said on hmw. can you now address why texans fans file out of the stadium midway through the 4th qtr of every game?,negative,positive,positive
